algorithm,n,seed,comparison_count,degree_gini,degree_p80_fraction,degree_normalized_entropy,maximum_degree_share,strength_gini,strength_p80_fraction,strength_normalized_entropy,maximum_strength_share,progress_fraction
quick-dual-pivot,128,61,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.0048367593712212815
quick-dual-pivot,128,61,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.009673518742442563
quick-dual-pivot,128,61,16,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.019347037484885126
quick-dual-pivot,128,61,32,0.91796875,0.09375,0.4962901585712291,0.28125,0.91796875,0.09375,0.4962901585712291,0.28125,0.03869407496977025
quick-dual-pivot,128,61,64,0.8543701171875,0.1640625,0.5728441702440522,0.2734375,0.8543701171875,0.1640625,0.5728441702440522,0.2734375,0.0773881499395405
quick-dual-pivot,128,61,128,0.7281494140625,0.3125,0.6463602395109612,0.265625,0.7281494140625,0.3125,0.6463602395109612,0.265625,0.154776299879081
quick-dual-pivot,128,61,256,0.552459716796875,0.53125,0.7366854931568745,0.23046875,0.552459716796875,0.53125,0.7366854931568745,0.23046875,0.309552599758162
quick-dual-pivot,128,61,512,0.5618133544921875,0.4609375,0.8417111119007976,0.115234375,0.5618133544921875,0.4609375,0.8417111119007976,0.115234375,0.619105199516324
quick-dual-pivot,128,61,827,0.3700971130592503,0.6171875,0.9301848423502471,0.07134220072551391,0.3700971130592503,0.6171875,0.9301848423502471,0.07134220072551391,1.0
quick-dual-pivot,128,62,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0011627906976744186
quick-dual-pivot,128,62,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002325581395348837
quick-dual-pivot,128,62,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.004651162790697674
quick-dual-pivot,128,62,8,0.96484375,0.03125,0.3547797990491928,0.375,0.96484375,0.03125,0.3547797990491928,0.375,0.009302325581395349
quick-dual-pivot,128,62,16,0.94921875,0.0546875,0.42468408302108546,0.3125,0.94921875,0.0546875,0.42468408302108546,0.3125,0.018604651162790697
quick-dual-pivot,128,62,32,0.916015625,0.09375,0.5032493789428987,0.3125,0.916015625,0.09375,0.5032493789428987,0.3125,0.037209302325581395
quick-dual-pivot,128,62,64,0.8477783203125,0.1640625,0.5806933792336509,0.3203125,0.8477783203125,0.1640625,0.5806933792336509,0.3203125,0.07441860465116279
quick-dual-pivot,128,62,128,0.71490478515625,0.3125,0.6542376951627967,0.31640625,0.71490478515625,0.3125,0.6542376951627967,0.31640625,0.14883720930232558
quick-dual-pivot,128,62,256,0.622406005859375,0.390625,0.7478899099173799,0.248046875,0.622406005859375,0.390625,0.7478899099173799,0.248046875,0.29767441860465116
quick-dual-pivot,128,62,512,0.6362762451171875,0.328125,0.8293998006284365,0.1240234375,0.6362762451171875,0.328125,0.8293998006284365,0.1240234375,0.5953488372093023
quick-dual-pivot,128,62,860,0.3595021802325582,0.6171875,0.9385509922925293,0.07383720930232558,0.3595021802325582,0.6171875,0.9385509922925293,0.07383720930232558,1.0
quick-dual-pivot,128,63,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.001218026796589525
quick-dual-pivot,128,63,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.00243605359317905
quick-dual-pivot,128,63,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.0048721071863581
quick-dual-pivot,128,63,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.0097442143727162
quick-dual-pivot,128,63,16,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.0194884287454324
quick-dual-pivot,128,63,32,0.9169921875,0.09375,0.5007544442855149,0.28125,0.9169921875,0.09375,0.5007544442855149,0.28125,0.0389768574908648
quick-dual-pivot,128,63,64,0.845458984375,0.1640625,0.5837349011831896,0.3125,0.845458984375,0.1640625,0.5837349011831896,0.3125,0.0779537149817296
quick-dual-pivot,128,63,128,0.71820068359375,0.3125,0.6545373502045395,0.28515625,0.71820068359375,0.3125,0.6545373502045395,0.28515625,0.1559074299634592
quick-dual-pivot,128,63,256,0.56744384765625,0.5078125,0.7406691247441967,0.232421875,0.56744384765625,0.5078125,0.7406691247441967,0.232421875,0.3118148599269184
